Transaction_ID,Sender_ID,Receiver_ID,Amount,Timestamp,Transaction_Type,Sender_Country,Receiver_Country,Description,Suspicious_Flag
T000000,E0476,E0722,1119.15,2024-03-17 22:24:03,Payment,Bulgaria,Algeria,Beat fill prove protect we.,False
T000001,E0992,E0797,379.68,2024-04-18 10:31:10,Cash Deposit,Sri Lanka,Singapore,Cash Deposit #1,False
T000002,E0150,E0850,103.51,2024-11-09 18:05:24,Payment,Sudan,Samoa,Create according matter person back throughout.,False
T000003,E0340,E0294,160.79,2024-08-01 14:05:01,Cash Deposit,Saint Helena,Northern Mariana Islands,Cash Deposit #3,False
T000004,E0086,E0708,5168.15,2024-12-12 07:49:49,Payment,Jamaica,Singapore,Exist town professional.,False
T000005,E0782,E0745,790.54,2024-01-13 02:03:58,Payment,Denmark,Saint Vincent and the Grenadines,Partner real summer.,False
T000006,E0722,E0048,34.59,2024-03-09 03:39:50,Payment,Algeria,Montserrat,Will artist human.,False
T000007,E0867,E0682,717.97,2024-05-05 13:24:00,Wire Transfer,Tuvalu,French Guiana,Wire Transfer #7,False
T000008,E0614,E0480,183.64,2024-02-03 06:41:12,Payment,Cameroon,Ghana,Low woman wear sense painting source.,False
T000009,E0055,E0208,85.68,2024-03-14 17:30:30,Payment,Uruguay,Bouvet Island (Bouvetoya),Story level look fish attack.,False
T000010,E0284,E0201,3615.49,2024-03-16 01:55:11,Wire Transfer,India,Cambodia,Wire Transfer #10,False
T000011,E0579,E0097,61.58,2024-04-05 00:09:11,Payment,Saint Martin,Faroe Islands,Remember might society institution final.,False
T000012,E0124,E0135,461.66,2024-03-14 01:35:25,Payment,Dominica,Paraguay,Choice hotel training seven represent.,False
T000013,E0554,E0248,38.55,2024-07-25 05:34:15,Cash Deposit,China,Aruba,Cash Deposit #13,False
T000014,E0383,E0195,2699.31,2024-05-25 00:26:01,Payment,Panama,Sao Tome and Principe,Source better artist view.,False
T000015,E0514,E0916,258.62,2024-09-17 03:49:01,Wire Transfer,Brazil,Haiti,Wire Transfer #15,False
T000016,E0427,E0138,67.47,2024-07-31 05:04:00,Wire Transfer,Ecuador,Turkmenistan,Wire Transfer #16,False
T000017,E0428,E0113,142.39,2024-01-08 14:20:27,Payment,Comoros,Andorra,Body positive southern adult report.,False
T000018,E0491,E0923,2011.62,2024-09-05 03:34:31,Wire Transfer,Korea,France,Wire Transfer #18,False
T000019,E0104,E0838,231.78,2024-09-20 13:11:22,Payment,Tuvalu,Uruguay,Arm great power out PM up.,False
T000020,E0612,E0547,508.9,2024-05-17 11:01:51,Cash Deposit,Madagascar,Brazil,Cash Deposit #20,False
T000021,E0490,E0143,405.31,2024-06-14 14:17:07,Wire Transfer,Iceland,Senegal,Wire Transfer #21,False
T000022,E0350,E0837,1400.6,2024-12-19 03:39:40,Payment,Cocos (Keeling) Islands,Rwanda,Wife agent effort radio agreement.,False
T000023,E0302,E0368,279.25,2024-10-27 03:48:26,Cash Deposit,Belarus,Latvia,Cash Deposit #23,False
T000024,E0513,E0832,753.36,2024-10-29 01:40:30,Cash Deposit,Lesotho,Tajikistan,Cash Deposit #24,False
T000025,E0220,E0179,386.65,2024-02-08 02:05:18,Cash Deposit,France,Tajikistan,Cash Deposit #25,False
T000026,E0169,E0969,197.16,2024-04-18 10:54:35,Payment,Brazil,Jersey,Author direction quite both rule church.,False
T000027,E0471,E0947,665.0,2024-08-21 12:23:29,Payment,Nepal,Mauritania,Season myself plan film part.,False
T000028,E0935,E0552,150.47,2024-10-06 20:59:06,Payment,British Virgin Islands,Malaysia,Cause sell wrong few type anything.,False
T000029,E0503,E0496,329.19,2024-12-07 19:52:13,Payment,France,Papua New Guinea,Day radio democratic for citizen in.,False
T000030,E0283,E0339,556.04,2024-04-08 18:28:09,Payment,Tuvalu,South Africa,Center once bill.,False
T000031,E0300,E0760,922.27,2024-01-26 14:54:29,Payment,Poland,Solomon Islands,Only those unit itself.,False
T000032,E0249,E0044,1386.03,2024-05-06 23:35:01,Wire Transfer,Uzbekistan,Saint Helena,Wire Transfer #32,False
T000033,E0173,E0648,1644.75,2024-02-24 08:11:50,Payment,Zimbabwe,Malta,Something floor wind first still maybe.,False
T000034,E0949,E0053,606.33,2024-08-07 00:58:05,Payment,Mauritius,Sri Lanka,Year likely deep list.,False
T000035,E0252,E0985,1022.73,2024-06-12 06:44:13,Wire Transfer,Botswana,Portugal,Wire Transfer #35,False
T000036,E0319,E0482,1635.2,2024-08-18 14:40:17,Payment,Norfolk Island,Poland,Brother tax yet.,False
T000037,E0701,E0613,200.58,2024-11-16 15:27:06,Payment,Namibia,Niue,Building claim avoid.,False
T000038,E0803,E0196,357.15,2024-12-10 08:01:52,Cash Deposit,Samoa,Mayotte,Cash Deposit #38,False
T000039,E0587,E0511,1095.22,2024-05-28 14:27:52,Payment,Heard Island and McDonald Islands,Montserrat,Check subject concern we executive machine.,False
