transaction_id,from_id,to_id,amount,timestamp,transaction_type,sender_country,receiver_country,description,suspicious_flag
T000000,E0601,E0201,74.7,2024-12-13 02:06:24,Cash Deposit,Afghanistan,Liberia,Cash Deposit #0,False
T000001,E0498,E0911,2438.77,2024-01-14 01:06:58,Cash Deposit,Sudan,Lesotho,Cash Deposit #1,False
T000002,E0013,E0915,2264.35,2024-11-18 18:10:46,Wire Transfer,Croatia,Myanmar,Wire Transfer #2,False
T000003,E0910,E0730,336.95,2024-11-18 04:29:57,Payment,Christmas Island,Botswana,Detail involve school just note admit.,False
T000004,E0439,E0098,120.82,2024-04-23 15:00:52,Cash Deposit,Cuba,Malaysia,Cash Deposit #4,False
T000005,E0403,E0364,832.75,2024-08-12 01:03:21,Cash Deposit,Angola,Myanmar,Cash Deposit #5,False
T000006,E0612,E0742,1003.22,2024-01-05 12:19:38,Cash Deposit,Syrian Arab Republic,Iraq,Cash Deposit #6,False
T000007,E0327,E0793,3050.56,2024-12-25 05:57:14,Wire Transfer,British Virgin Islands,Honduras,Wire Transfer #7,False
T000008,E0753,E0645,63.91,2024-05-22 23:12:00,Payment,Montserrat,British Indian Ocean Territory (Chagos Archipelago),Ready where amount peace past be.,False
T000009,E0472,E0590,391.65,2024-10-04 17:36:47,Payment,Honduras,Thailand,Month exactly night with leave box.,False
T000010,E0107,E0150,676.76,2024-03-19 05:29:59,Wire Transfer,Mongolia,Central African Republic,Wire Transfer #10,False
T000011,E0509,E0224,69.64,2024-02-12 20:17:49,Cash Deposit,Israel,Thailand,Cash Deposit #11,False
T000012,E0063,E0470,34.87,2024-10-25 03:53:20,Payment,Isle of Man,Mozambique,From side run.,False
T000013,E0827,E0042,812.4,2024-07-21 04:14:00,Payment,Angola,Saudi Arabia,Get garden party base determine.,False
T000014,E0655,E0062,38.58,2024-01-11 01:14:43,Wire Transfer,Panama,Iran,Wire Transfer #14,False
T000015,E0768,E0938,406.51,2024-02-02 16:41:20,Payment,Canada,Bulgaria,One to feeling.,False
T000016,E0132,E0266,120.31,2024-02-26 18:30:41,Wire Transfer,Cayman Islands,Papua New Guinea,Wire Transfer #16,False
T000017,E0524,E0339,2563.16,2024-02-20 20:32:24,Cash Deposit,Nicaragua,Ecuador,Cash Deposit #17,False
T000018,E0911,E0069,50.9,2024-08-19 13:48:05,Payment,Lesotho,Barbados,Brother play apply control.,False
T000019,E0226,E0113,1799.4,2024-08-12 02:53:09,Payment,Kiribati,Samoa,Arrive or figure true important brother.,False
T000020,E0524,E0400,328.44,2024-09-18 13:32:33,Payment,Nicaragua,Tunisia,Maybe level community quality space.,False
T000021,E0599,E0569,91.83,2024-04-02 21:21:30,Cash Deposit,Saudi Arabia,Belgium,Cash Deposit #21,False
T000022,E0898,E0842,117.94,2024-03-13 04:43:56,Cash Deposit,Djibouti,Cocos (Keeling) Islands,Cash Deposit #22,False
T000023,E0080,E0818,870.09,2024-11-28 21:33:05,Payment,France,China,Media environment trade somebody week pattern.,False
T000024,E0254,E0999,90.36,2024-12-30 08:10:20,Payment,Isle of Man,Thailand,Century ready tonight institution important.,False
T000025,E0979,E0276,5624.46,2024-10-14 06:14:12,Wire Transfer,Panama,Senegal,Wire Transfer #25,False
T000026,E0334,E0826,1325.06,2024-07-03 01:38:36,Wire Transfer,Paraguay,Madagascar,Wire Transfer #26,False
T000027,E0661,E0331,49.86,2024-02-18 14:45:03,Wire Transfer,Belize,Montserrat,Wire Transfer #27,False
T000028,E0339,E0918,129.11,2024-05-09 04:32:04,Payment,Ecuador,Uganda,Better management listen generation song.,False
T000029,E0814,E0651,664.13,2024-08-13 22:36:10,Cash Deposit,Japan,Congo,Cash Deposit #29,False
T000030,E0650,E0188,38.47,2024-03-15 07:29:09,Payment,Denmark,Cocos (Keeling) Islands,Foreign think day on short such.,False
T000031,E0226,E0878,215.33,2024-12-10 16:39:57,Payment,Kiribati,Algeria,Despite friend create.,False
T000032,E0920,E0705,642.39,2024-06-11 22:49:48,Wire Transfer,Czech Republic,Slovenia,Wire Transfer #32,False
T000033,E0537,E0041,49.23,2024-12-29 06:01:06,Wire Transfer,British Virgin Islands,Burkina Faso,Wire Transfer #33,False
T000034,E0360,E0271,51.73,2024-07-11 12:03:01,Cash Deposit,Comoros,Cuba,Cash Deposit #34,False
T000035,E0487,E0097,112.25,2024-03-14 01:59:08,Payment,Gabon,Taiwan,Baby help which assume.,False
T000036,E0682,E0627,36.89,2024-06-19 10:34:59,Payment,Dominica,Switzerland,Fly certainly in development.,False
T000037,E0704,E0947,102.6,2024-11-02 16:52:08,Cash Deposit,Central African Republic,Nauru,Cash Deposit #37,False
T000038,E0537,E0841,233.6,2024-06-30 14:29:07,Wire Transfer,British Virgin Islands,Palau,Wire Transfer #38,False
T000039,E0989,E0133,16.87,2024-10-29 17:22:37,Payment,Holy See (Vatican City State),Bhutan,Real risk many.,False
T000040,E0361,E0688,188.19,2024-05-11 09:29:54,Cash Deposit,Guyana,Cocos (Keeling) Islands,Cash Deposit #40,False
T000041,E0597,E0036,1439.83,2024-03-08 17:14:45,Cash Deposit,Austria,Saudi Arabia,Cash Deposit #41,False
T000042,E0745,E0997,87.1,2024-02-05 02:09:18,Payment,Syrian Arab Republic,Cameroon,Current owner foreign.,False
T000043,E0465,E0335,495.58,2024-05-03 11:22:12,Payment,Jamaica,Vietnam,Ability assume else table seek write.,False
T000044,E0598,E0671,403.75,2024-06-24 14:51:41,Wire Transfer,Madagascar,Nepal,Wire Transfer #44,False
T000045,E0878,E0475,69.39,2024-04-18 02:00:45,Wire Transfer,Algeria,Hong Kong,Wire Transfer #45,False
T000046,E0267,E0373,911.42,2024-01-05 07:46:31,Wire Transfer,Ireland,Cocos (Keeling) Islands,Wire Transfer #46,False
T000047,E0652,E0251,247.79,2024-12-25 05:30:15,Cash Deposit,Sudan,Mayotte,Cash Deposit #47,False
T000048,E0740,E0766,1835.26,2024-07-23 17:45:35,Payment,Yemen,Niue,Culture top role Mrs pay.,False
T000049,E0361,E0415,249.55,2024-02-12 13:17:09,Wire Transfer,Guyana,Slovenia,Wire Transfer #49,False
T000050,E0800,E0446,1612.91,2024-11-19 03:51:43,Cash Deposit,Pakistan,Macao,Cash Deposit #50,False
T000051,E0371,E0939,74.36,2024-10-06 14:00:38,Cash Deposit,Cuba,Marshall Islands,Cash Deposit #51,False
